Riding,Voter Number,Rank Ballot,Range Ballot,Approval Ballot
77,1543,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;NO;NO;NO
77,1544,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;NO
77,1545,LIBERAL;CPC;NDP;GREEN,3;1;4;1,YES;NO;YES;NO
77,1546,CPC;GREEN;NDP;LIBERAL,2;1;1;1,YES;YES;YES;YES
77,1547,CPC;LIBERAL;NDP;GREEN,4;1;2;1,YES;YES;YES;YES
77,1548,LIBERAL;NDP;CPC;GREEN,1;1;4;3,NO;NO;YES;NO
77,1549,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;NO;NO;NO
77,1550,NDP;GREEN;CPC;LIBERAL,3;3;1;4,YES;YES;NO;YES
77,1551,LIBERAL;NDP;GREEN;CPC,1;2;3;2,NO;NO;YES;NO
77,1552,LIBERAL;NDP;GREEN;CPC,1;2;4;3,NO;NO;YES;YES
77,1553,LIBERAL;GREEN;NDP;CPC,2;3;4;2,YES;YES;YES;YES
77,1554,LIBERAL;CPC;NDP;GREEN,2;1;5;1,NO;NO;YES;NO
77,1555,LIBERAL;NDP;GREEN;CPC,2;2;5;2,NO;NO;YES;NO
77,1556,LIBERAL;GREEN;CPC;NDP,1;1;2;1,YES;YES;YES;YES
77,1557,CPC;GREEN;LIBERAL;NDP,2;1;1;1,YES;NO;NO;NO
77,1558,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;NO;NO;YES
77,1559,LIBERAL;NDP;GREEN;CPC,1;2;3;2,NO;YES;YES;YES
77,1560,NDP;GREEN;LIBERAL;CPC,3;3;3;4,YES;YES;YES;YES
77,1561,LIBERAL;CPC;GREEN;NDP,3;1;4;1,YES;NO;YES;NO
77,1562,LIBERAL;GREEN;NDP;CPC,1;2;4;1,NO;NO;YES;NO
78,1563,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
78,1564,LIBERAL;GREEN;NDP;CPC,1;2;3;1,NO;YES;YES;NO
78,1565,LIBERAL;GREEN;NDP;CPC,1;2;2;1,YES;YES;YES;YES
78,1566,NDP;GREEN;LIBERAL;CPC,1;3;2;4,NO;YES;YES;YES
78,1567,LIBERAL;NDP;GREEN;CPC,2;2;4;3,NO;NO;YES;YES
78,1568,NDP;CPC;LIBERAL;GREEN,2;1;1;3,YES;NO;NO;YES
78,1569,NDP;LIBERAL;CPC;GREEN,1;1;1;4,NO;NO;NO;YES
78,1570,CPC;NDP;LIBERAL;GREEN,2;1;1;2,YES;NO;NO;YES
78,1571,CPC;NDP;LIBERAL;GREEN,2;1;1;1,YES;YES;YES;YES
78,1572,LIBERAL;GREEN;NDP;CPC,2;4;5;3,YES;YES;YES;YES
78,1573,LIBERAL;GREEN;NDP;CPC,1;1;2;1,NO;NO;YES;NO
78,1574,LIBERAL;NDP;GREEN;CPC,1;1;2;1,NO;NO;YES;NO
78,1575,LIBERAL;GREEN;CPC;NDP,3;4;5;3,NO;NO;YES;NO
78,1576,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
78,1577,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;YES;YES;YES
78,1578,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;NO;NO;NO
78,1579,CPC;GREEN;LIBERAL;NDP,4;2;2;2,YES;YES;YES;YES
78,1580,LIBERAL;NDP;GREEN;CPC,1;1;1;1,YES;YES;YES;YES
78,1581,CPC;NDP;GREEN;LIBERAL,4;3;2;3,YES;YES;NO;YES
79,1582,CPC;GREEN;LIBERAL;NDP,3;2;1;1,YES;NO;NO;NO
79,1583,LIBERAL;NDP;CPC;GREEN,1;1;3;2,YES;YES;YES;YES
79,1584,NDP;LIBERAL;CPC;GREEN,2;1;2;3,YES;NO;YES;YES
79,1585,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;YES;YES;YES
79,1586,CPC;GREEN;LIBERAL;NDP,3;2;1;1,YES;YES;YES;YES
79,1587,NDP;GREEN;LIBERAL;CPC,1;2;1;4,YES;YES;YES;YES
79,1588,LIBERAL;NDP;GREEN;CPC,1;1;2;1,NO;NO;YES;NO
79,1589,NDP;GREEN;LIBERAL;CPC,1;1;1;2,YES;YES;YES;YES
79,1590,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
79,1591,GREEN;NDP;LIBERAL;CPC,1;4;1;2,NO;YES;NO;NO
79,1592,NDP;LIBERAL;GREEN;CPC,1;1;3;3,YES;YES;YES;YES
79,1593,NDP;GREEN;LIBERAL;CPC,1;1;1;2,YES;YES;YES;YES
79,1594,LIBERAL;GREEN;NDP;CPC,1;2;2;1,NO;YES;YES;NO
79,1595,CPC;LIBERAL;NDP;GREEN,4;1;4;2,YES;NO;YES;YES
79,1596,NDP;GREEN;LIBERAL;CPC,1;2;1;4,YES;YES;YES;YES
79,1597,CPC;NDP;GREEN;LIBERAL,4;2;2;3,YES;NO;NO;NO
79,1598,CPC;LIBERAL;NDP;GREEN,4;1;2;1,YES;NO;YES;NO
79,1599,CPC;LIBERAL;NDP;GREEN,3;1;1;1,YES;NO;NO;NO
79,1600,NDP;CPC;GREEN;LIBERAL,1;1;1;2,YES;YES;YES;YES
79,1601,NDP;GREEN;CPC;LIBERAL,1;2;1;4,NO;NO;NO;YES
79,1602,NDP;GREEN;CPC;LIBERAL,3;4;2;5,YES;YES;NO;YES
79,1603,CPC;GREEN;NDP;LIBERAL,3;1;1;1,YES;NO;NO;NO
80,1604,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;NO;NO;YES
80,1605,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;NO;NO;YES
80,1606,LIBERAL;GREEN;NDP;CPC,1;2;4;1,YES;YES;YES;YES
80,1607,CPC;LIBERAL;GREEN;NDP,4;1;2;1,YES;YES;YES;YES
80,1608,LIBERAL;NDP;GREEN;CPC,1;2;4;3,NO;NO;YES;NO
80,1609,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;NO
80,1610,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
80,1611,CPC;LIBERAL;NDP;GREEN,4;1;2;1,YES;NO;NO;NO
80,1612,NDP;LIBERAL;GREEN;CPC,1;1;1;5,NO;NO;NO;YES
80,1613,LIBERAL;CPC;NDP;GREEN,3;2;4;2,YES;YES;YES;YES
80,1614,GREEN;NDP;CPC;LIBERAL,1;3;1;2,YES;YES;YES;YES
80,1615,NDP;GREEN;LIBERAL;CPC,1;1;1;2,YES;YES;YES;YES
80,1616,NDP;GREEN;CPC;LIBERAL,3;4;2;5,NO;YES;NO;YES
80,1617,CPC;LIBERAL;NDP;GREEN,4;1;2;1,YES;NO;NO;NO
80,1618,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
80,1619,NDP;CPC;LIBERAL;GREEN,2;1;2;4,YES;YES;YES;YES
80,1620,NDP;GREEN;LIBERAL;CPC,1;2;2;3,NO;NO;NO;YES
80,1621,LIBERAL;NDP;GREEN;CPC,2;2;4;2,NO;NO;YES;NO
80,1622,NDP;GREEN;LIBERAL;CPC,2;2;2;3,NO;NO;NO;YES
80,1623,NDP;GREEN;CPC;LIBERAL,1;2;1;3,NO;NO;NO;YES
80,1624,NDP;GREEN;LIBERAL;CPC,1;2;2;3,NO;YES;YES;YES
80,1625,CPC;GREEN;NDP;LIBERAL,3;2;2;2,YES;YES;YES;YES
81,1626,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;YES;NO;YES
81,1627,LIBERAL;CPC;GREEN;NDP,3;1;4;1,YES;YES;YES;YES
81,1628,CPC;NDP;GREEN;LIBERAL,5;2;1;3,YES;NO;NO;NO
81,1629,NDP;LIBERAL;GREEN;CPC,1;1;2;4,YES;YES;YES;YES
81,1630,LIBERAL;GREEN;NDP;CPC,1;3;4;2,YES;YES;YES;YES
81,1631,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;YES;YES;YES
81,1632,CPC;LIBERAL;NDP;GREEN,3;1;2;2,YES;YES;YES;YES
81,1633,LIBERAL;CPC;GREEN;NDP,3;2;4;1,YES;YES;YES;NO
81,1634,LIBERAL;CPC;NDP;GREEN,1;1;3;1,YES;YES;YES;YES
81,1635,LIBERAL;NDP;GREEN;CPC,2;2;4;3,YES;YES;YES;YES
81,1636,LIBERAL;NDP;GREEN;CPC,2;2;4;3,NO;NO;YES;NO
81,1637,LIBERAL;CPC;NDP;GREEN,1;1;2;1,NO;NO;YES;NO
81,1638,CPC;LIBERAL;GREEN;NDP,4;1;2;1,YES;NO;NO;NO
81,1639,LIBERAL;NDP;GREEN;CPC,2;3;5;4,NO;YES;YES;YES
81,1640,CPC;GREEN;LIBERAL;NDP,3;3;2;1,YES;YES;NO;NO
81,1641,LIBERAL;GREEN;CPC;NDP,1;3;4;1,NO;NO;YES;NO
81,1642,NDP;GREEN;LIBERAL;CPC,1;3;2;4,NO;NO;NO;YES
81,1643,NDP;GREEN;CPC;LIBERAL,2;3;2;4,NO;NO;NO;YES
81,1644,CPC;LIBERAL;GREEN;NDP,3;2;3;1,YES;YES;YES;YES
81,1645,LIBERAL;GREEN;NDP;CPC,2;3;3;2,YES;YES;YES;YES
82,1646,LIBERAL;NDP;GREEN;CPC,1;2;4;3,NO;NO;YES;YES
82,1647,LIBERAL;CPC;NDP;GREEN,3;1;4;2,YES;NO;YES;YES
82,1648,LIBERAL;GREEN;NDP;CPC,1;1;2;1,NO;NO;YES;NO
82,1649,CPC;LIBERAL;GREEN;NDP,3;1;2;1,YES;YES;YES;YES
82,1650,LIBERAL;CPC;GREEN;NDP,3;2;4;1,NO;NO;YES;NO
82,1651,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;NO
82,1652,LIBERAL;NDP;GREEN;CPC,1;2;4;3,YES;YES;YES;YES
82,1653,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;YES;YES;YES
82,1654,LIBERAL;NDP;GREEN;CPC,1;1;2;1,YES;YES;YES;YES
82,1655,CPC;GREEN;NDP;LIBERAL,2;2;1;1,YES;YES;NO;NO
82,1656,NDP;CPC;LIBERAL;GREEN,2;1;1;3,YES;NO;NO;YES
82,1657,LIBERAL;GREEN;NDP;CPC,1;3;3;2,NO;YES;YES;YES
82,1658,LIBERAL;NDP;CPC;GREEN,1;1;4;2,NO;NO;YES;YES
82,1659,CPC;LIBERAL;NDP;GREEN,4;2;3;3,YES;YES;YES;YES
82,1660,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;YES;NO;YES
82,1661,NDP;LIBERAL;CPC;GREEN,2;1;2;4,NO;NO;NO;YES
82,1662,LIBERAL;GREEN;CPC;NDP,1;1;2;1,NO;NO;YES;NO
82,1663,CPC;NDP;LIBERAL;GREEN,2;1;1;2,YES;YES;YES;YES
82,1664,NDP;LIBERAL;GREEN;CPC,1;2;3;4,NO;NO;NO;YES
82,1665,NDP;LIBERAL;GREEN;CPC,1;1;1;3,NO;NO;NO;YES
83,1666,NDP;LIBERAL;GREEN;CPC,3;3;3;4,YES;YES;YES;YES
83,1667,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
83,1668,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;NO;NO;NO
83,1669,LIBERAL;GREEN;NDP;CPC,1;1;2;1,NO;NO;YES;NO
83,1670,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;NO;NO;NO
83,1671,CPC;NDP;LIBERAL;GREEN,4;1;3;4,YES;NO;NO;YES
83,1672,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;NO;NO;NO
83,1673,CPC;LIBERAL;NDP;GREEN,1;1;1;1,YES;YES;YES;YES
83,1674,LIBERAL;NDP;CPC;GREEN,2;2;4;2,NO;NO;YES;NO
83,1675,LIBERAL;CPC;NDP;GREEN,1;1;2;1,YES;YES;YES;YES
83,1676,NDP;CPC;LIBERAL;GREEN,3;1;2;4,YES;YES;YES;YES
83,1677,LIBERAL;NDP;GREEN;CPC,2;3;3;3,NO;YES;YES;YES
83,1678,LIBERAL;GREEN;CPC;NDP,1;2;3;1,NO;NO;YES;NO
83,1679,CPC;LIBERAL;GREEN;NDP,2;1;1;1,YES;YES;YES;YES
83,1680,CPC;NDP;LIBERAL;GREEN,2;1;1;1,YES;NO;NO;NO
83,1681,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
83,1682,LIBERAL;NDP;CPC;GREEN,2;2;3;3,YES;YES;YES;YES
83,1683,NDP;CPC;GREEN;LIBERAL,2;2;1;3,YES;YES;YES;YES
84,1684,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;YES;YES;YES
84,1685,NDP;LIBERAL;CPC;GREEN,1;1;1;2,YES;YES;YES;YES
84,1686,LIBERAL;GREEN;CPC;NDP,2;3;4;1,YES;YES;YES;NO
84,1687,LIBERAL;GREEN;NDP;CPC,1;2;3;1,NO;NO;YES;NO
84,1688,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;NO
84,1689,LIBERAL;CPC;NDP;GREEN,4;2;5;3,YES;YES;YES;YES
84,1690,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;NO
84,1691,CPC;NDP;GREEN;LIBERAL,2;1;1;2,YES;YES;YES;YES
84,1692,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;NO;NO;NO
84,1693,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;NO;NO;NO
84,1694,LIBERAL;GREEN;NDP;CPC,1;2;3;1,NO;NO;YES;NO
84,1695,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
84,1696,LIBERAL;GREEN;NDP;CPC,1;3;4;2,NO;NO;YES;NO
84,1697,CPC;LIBERAL;GREEN;NDP,1;1;1;1,YES;YES;YES;YES
84,1698,LIBERAL;NDP;GREEN;CPC,1;2;4;2,NO;YES;YES;YES
84,1699,CPC;NDP;LIBERAL;GREEN,2;1;1;1,YES;YES;YES;YES
84,1700,CPC;NDP;LIBERAL;GREEN,5;1;2;3,YES;NO;NO;YES
84,1701,LIBERAL;GREEN;NDP;CPC,1;1;2;1,YES;YES;YES;YES
84,1702,GREEN;NDP;CPC;LIBERAL,1;2;1;1,NO;YES;NO;NO
85,1703,LIBERAL;NDP;GREEN;CPC,1;2;3;2,YES;YES;YES;YES
85,1704,GREEN;NDP;LIBERAL;CPC,1;4;1;1,NO;YES;NO;NO
85,1705,LIBERAL;GREEN;NDP;CPC,1;2;4;1,NO;NO;YES;NO
85,1706,GREEN;NDP;CPC;LIBERAL,1;1;1;1,YES;YES;YES;YES
85,1707,CPC;LIBERAL;GREEN;NDP,3;2;2;1,YES;YES;YES;YES
85,1708,GREEN;LIBERAL;NDP;CPC,3;5;4;3,YES;YES;YES;YES
85,1709,LIBERAL;NDP;CPC;GREEN,1;1;3;2,NO;NO;YES;YES
85,1710,GREEN;LIBERAL;CPC;NDP,3;4;3;1,YES;YES;YES;NO
85,1711,LIBERAL;CPC;NDP;GREEN,3;1;3;2,YES;NO;YES;YES
85,1712,LIBERAL;NDP;GREEN;CPC,2;3;4;3,NO;YES;YES;YES
85,1713,CPC;LIBERAL;GREEN;NDP,4;2;3;1,YES;YES;YES;YES
85,1714,LIBERAL;NDP;GREEN;CPC,1;2;4;3,NO;NO;YES;YES
85,1715,LIBERAL;NDP;CPC;GREEN,1;1;3;2,NO;NO;YES;YES
85,1716,LIBERAL;CPC;NDP;GREEN,2;1;4;1,YES;YES;YES;YES
85,1717,LIBERAL;NDP;GREEN;CPC,1;3;4;3,YES;YES;YES;YES
85,1718,CPC;GREEN;NDP;LIBERAL,3;2;1;1,YES;NO;NO;NO
85,1719,CPC;LIBERAL;NDP;GREEN,2;1;1;1,YES;YES;YES;YES
85,1720,NDP;CPC;GREEN;LIBERAL,1;1;1;1,YES;YES;YES;YES
85,1721,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;NO;NO;YES
85,1722,LIBERAL;NDP;GREEN;CPC,1;1;3;1,NO;NO;YES;NO
85,1723,CPC;LIBERAL;NDP;GREEN,4;1;3;2,YES;YES;YES;YES
86,1724,NDP;GREEN;CPC;LIBERAL,1;2;1;2,NO;YES;NO;YES
86,1725,NDP;GREEN;LIBERAL;CPC,1;3;2;4,NO;YES;YES;YES
86,1726,CPC;LIBERAL;GREEN;NDP,4;1;2;1,YES;NO;YES;NO
86,1727,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;YES;YES;YES
86,1728,NDP;LIBERAL;GREEN;CPC,1;2;3;4,NO;YES;YES;YES
86,1729,GREEN;NDP;CPC;LIBERAL,2;3;1;2,YES;YES;NO;YES
86,1730,NDP;LIBERAL;GREEN;CPC,1;1;2;3,YES;YES;YES;YES
86,1731,LIBERAL;NDP;GREEN;CPC,1;1;4;3,NO;NO;YES;YES
86,1732,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;YES;YES;YES
86,1733,CPC;NDP;LIBERAL;GREEN,4;1;2;2,YES;YES;YES;YES
86,1734,CPC;GREEN;NDP;LIBERAL,3;1;1;1,YES;NO;NO;NO
86,1735,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;NO;NO;YES
86,1736,GREEN;LIBERAL;NDP;CPC,2;4;3;3,NO;YES;NO;NO
86,1737,NDP;CPC;LIBERAL;GREEN,2;1;1;3,NO;NO;NO;YES
86,1738,LIBERAL;NDP;CPC;GREEN,2;1;3;2,YES;NO;YES;YES
86,1739,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;NO;NO;NO
86,1740,CPC;LIBERAL;NDP;GREEN,2;1;1;1,YES;YES;YES;YES
86,1741,LIBERAL;GREEN;NDP;CPC,2;3;4;2,YES;YES;YES;YES
87,1742,LIBERAL;GREEN;NDP;CPC,1;3;4;2,NO;YES;YES;NO
87,1743,LIBERAL;NDP;GREEN;CPC,1;1;4;2,YES;YES;YES;YES
87,1744,LIBERAL;GREEN;NDP;CPC,1;2;4;1,NO;YES;YES;NO
87,1745,CPC;LIBERAL;NDP;GREEN,3;1;1;1,YES;YES;YES;YES
87,1746,LIBERAL;NDP;CPC;GREEN,2;2;4;3,NO;NO;YES;YES
87,1747,CPC;NDP;LIBERAL;GREEN,1;1;1;1,YES;YES;YES;YES
87,1748,CPC;NDP;GREEN;LIBERAL,4;1;1;2,YES;YES;YES;YES
87,1749,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;YES;YES;YES
87,1750,NDP;GREEN;LIBERAL;CPC,1;4;3;4,YES;YES;YES;YES
87,1751,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
87,1752,CPC;LIBERAL;NDP;GREEN,4;1;3;2,YES;NO;NO;NO
87,1753,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;YES
87,1754,CPC;NDP;GREEN;LIBERAL,2;2;1;2,YES;YES;YES;YES
87,1755,LIBERAL;NDP;GREEN;CPC,1;1;2;1,YES;YES;YES;YES
87,1756,LIBERAL;NDP;GREEN;CPC,2;2;3;2,YES;YES;YES;YES
87,1757,NDP;LIBERAL;CPC;GREEN,1;1;1;1,YES;YES;YES;YES
87,1758,CPC;GREEN;LIBERAL;NDP,3;2;1;1,YES;NO;NO;NO
87,1759,LIBERAL;GREEN;NDP;CPC,1;2;2;1,NO;YES;YES;NO
87,1760,LIBERAL;NDP;GREEN;CPC,2;2;4;3,YES;YES;YES;YES
87,1761,CPC;NDP;LIBERAL;GREEN,3;1;2;2,YES;YES;YES;YES
87,1762,LIBERAL;CPC;GREEN;NDP,2;2;2;1,YES;YES;YES;NO
88,1763,NDP;GREEN;LIBERAL;CPC,1;2;1;3,YES;YES;YES;YES
88,1764,LIBERAL;NDP;GREEN;CPC,1;1;2;1,NO;NO;YES;NO
88,1765,CPC;NDP;GREEN;LIBERAL,1;1;1;1,YES;YES;YES;YES
88,1766,LIBERAL;NDP;CPC;GREEN,1;1;4;2,NO;NO;YES;YES
88,1767,LIBERAL;GREEN;NDP;CPC,1;2;3;1,NO;YES;YES;NO
88,1768,CPC;LIBERAL;NDP;GREEN,4;2;3;2,YES;NO;YES;NO
88,1769,CPC;GREEN;NDP;LIBERAL,4;3;2;2,YES;YES;YES;YES
88,1770,NDP;LIBERAL;GREEN;CPC,2;2;2;3,YES;YES;YES;YES
88,1771,LIBERAL;NDP;CPC;GREEN,2;1;4;4,YES;NO;YES;YES
88,1772,NDP;GREEN;LIBERAL;CPC,2;3;3;4,YES;YES;YES;YES
88,1773,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;YES;YES;YES
88,1774,NDP;GREEN;LIBERAL;CPC,1;2;2;4,NO;YES;YES;YES
88,1775,LIBERAL;NDP;CPC;GREEN,1;1;3;2,NO;NO;YES;NO
88,1776,LIBERAL;NDP;GREEN;CPC,1;1;3;1,NO;NO;YES;NO
88,1777,LIBERAL;NDP;GREEN;CPC,1;1;2;1,YES;YES;YES;YES
88,1778,LIBERAL;NDP;CPC;GREEN,2;1;4;3,NO;NO;YES;NO
88,1779,CPC;GREEN;LIBERAL;NDP,3;2;2;1,YES;NO;NO;NO
88,1780,LIBERAL;GREEN;NDP;CPC,1;2;4;1,YES;YES;YES;YES
88,1781,LIBERAL;GREEN;NDP;CPC,1;4;4;3,NO;YES;YES;NO
89,1782,LIBERAL;GREEN;NDP;CPC,2;2;3;2,YES;YES;YES;YES
89,1783,LIBERAL;GREEN;NDP;CPC,2;4;5;3,YES;YES;YES;YES
89,1784,LIBERAL;CPC;NDP;GREEN,2;1;4;2,NO;NO;YES;NO
89,1785,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
89,1786,CPC;NDP;LIBERAL;GREEN,4;1;1;1,YES;NO;NO;NO
89,1787,NDP;LIBERAL;GREEN;CPC,1;2;3;4,NO;NO;YES;YES
89,1788,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;NO
89,1789,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;NO;NO;NO
89,1790,LIBERAL;NDP;GREEN;CPC,2;3;4;3,YES;YES;YES;YES
89,1791,LIBERAL;NDP;GREEN;CPC,1;2;4;3,YES;YES;YES;YES
89,1792,NDP;LIBERAL;GREEN;CPC,1;1;2;3,NO;NO;NO;YES
89,1793,CPC;NDP;GREEN;LIBERAL,4;1;1;2,YES;YES;YES;YES
89,1794,LIBERAL;GREEN;NDP;CPC,1;2;4;1,NO;NO;YES;NO
89,1795,LIBERAL;NDP;CPC;GREEN,1;1;2;2,NO;NO;YES;YES
89,1796,NDP;LIBERAL;GREEN;CPC,1;1;1;2,NO;NO;NO;YES
89,1797,LIBERAL;CPC;GREEN;NDP,2;1;4;1,NO;NO;YES;NO
89,1798,CPC;NDP;LIBERAL;GREEN,4;2;3;4,YES;YES;YES;YES
89,1799,CPC;GREEN;NDP;LIBERAL,4;3;1;2,YES;NO;NO;NO
89,1800,CPC;NDP;LIBERAL;GREEN,2;1;1;2,YES;NO;NO;YES
89,1801,LIBERAL;GREEN;CPC;NDP,2;3;4;1,NO;YES;YES;NO
89,1802,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;NO;NO;YES
90,1803,NDP;CPC;GREEN;LIBERAL,1;1;1;3,NO;NO;NO;YES
90,1804,NDP;CPC;LIBERAL;GREEN,1;1;1;1,YES;YES;YES;YES
90,1805,GREEN;LIBERAL;NDP;CPC,1;3;2;1,NO;YES;YES;NO
90,1806,LIBERAL;GREEN;NDP;CPC,2;2;2;2,YES;YES;YES;YES
90,1807,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
90,1808,NDP;LIBERAL;CPC;GREEN,1;1;2;3,YES;YES;YES;YES
90,1809,NDP;LIBERAL;GREEN;CPC,1;1;2;4,NO;NO;NO;YES
90,1810,LIBERAL;GREEN;NDP;CPC,2;4;4;3,YES;YES;YES;YES
90,1811,CPC;GREEN;NDP;LIBERAL,4;3;1;2,YES;YES;YES;YES
90,1812,CPC;LIBERAL;NDP;GREEN,4;2;2;2,YES;NO;NO;NO
90,1813,CPC;NDP;GREEN;LIBERAL,3;1;1;1,YES;YES;YES;YES
90,1814,NDP;GREEN;CPC;LIBERAL,2;2;1;4,YES;YES;YES;YES
90,1815,NDP;LIBERAL;GREEN;CPC,2;2;2;4,YES;YES;YES;YES
90,1816,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;YES;YES;YES
90,1817,LIBERAL;NDP;GREEN;CPC,1;2;4;3,YES;YES;YES;YES
90,1818,NDP;CPC;LIBERAL;GREEN,3;1;2;4,YES;NO;YES;YES
90,1819,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;NO;NO;NO
90,1820,CPC;GREEN;LIBERAL;NDP,2;1;1;1,YES;NO;NO;NO
90,1821,CPC;GREEN;NDP;LIBERAL,4;3;2;3,YES;YES;NO;YES
90,1822,NDP;CPC;LIBERAL;GREEN,4;3;4;5,YES;YES;YES;YES
90,1823,NDP;GREEN;LIBERAL;CPC,1;2;2;3,NO;NO;NO;YES
90,1824,LIBERAL;GREEN;NDP;CPC,1;2;3;1,YES;YES;YES;YES
91,1825,NDP;CPC;GREEN;LIBERAL,4;3;2;5,YES;YES;YES;YES
91,1826,GREEN;NDP;CPC;LIBERAL,1;2;1;1,NO;YES;NO;NO
91,1827,NDP;LIBERAL;GREEN;CPC,2;3;4;4,NO;NO;YES;YES
91,1828,CPC;NDP;GREEN;LIBERAL,4;1;1;2,YES;YES;YES;YES
91,1829,LIBERAL;CPC;NDP;GREEN,2;1;3;1,YES;NO;YES;NO
91,1830,LIBERAL;GREEN;NDP;CPC,1;2;3;1,NO;YES;YES;NO
91,1831,LIBERAL;CPC;NDP;GREEN,2;1;3;1,NO;NO;YES;NO
91,1832,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
91,1833,CPC;NDP;GREEN;LIBERAL,3;2;1;2,YES;NO;NO;NO
91,1834,GREEN;NDP;CPC;LIBERAL,2;3;1;2,YES;YES;YES;YES
91,1835,NDP;GREEN;LIBERAL;CPC,1;2;1;4,NO;NO;NO;YES
91,1836,CPC;NDP;GREEN;LIBERAL,5;2;1;3,YES;YES;YES;YES
91,1837,LIBERAL;CPC;NDP;GREEN,2;1;3;1,YES;YES;YES;YES
91,1838,LIBERAL;GREEN;NDP;CPC,1;3;4;2,NO;NO;YES;NO
91,1839,LIBERAL;NDP;GREEN;CPC,1;1;1;1,YES;YES;YES;YES
91,1840,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;NO;NO;NO
91,1841,GREEN;LIBERAL;NDP;CPC,1;4;2;2,NO;YES;YES;YES
91,1842,LIBERAL;NDP;GREEN;CPC,1;3;4;4,NO;YES;YES;YES
91,1843,CPC;GREEN;LIBERAL;NDP,4;3;2;2,YES;NO;NO;NO
91,1844,CPC;GREEN;LIBERAL;NDP,3;2;1;1,YES;YES;YES;YES
92,1845,NDP;GREEN;CPC;LIBERAL,1;2;1;4,YES;YES;YES;YES
92,1846,NDP;LIBERAL;GREEN;CPC,1;1;2;3,NO;NO;NO;YES
92,1847,LIBERAL;NDP;GREEN;CPC,1;1;4;3,YES;YES;YES;YES
92,1848,LIBERAL;NDP;CPC;GREEN,1;1;2;1,NO;NO;YES;NO
92,1849,NDP;GREEN;LIBERAL;CPC,1;3;2;4,NO;YES;NO;YES
92,1850,NDP;LIBERAL;CPC;GREEN,2;1;4;4,YES;NO;YES;YES
92,1851,LIBERAL;NDP;GREEN;CPC,1;2;3;2,NO;YES;YES;YES
92,1852,LIBERAL;NDP;GREEN;CPC,1;2;3;3,NO;YES;YES;YES
